PROD_CODE,PROD_CODE_10,PACKAGING,CARBON_FOOTPRINT,HAZARDOUS_MATERIAL,RECYCLABLE
PRD0904035,CL00065,3,1,2,1
PRD0904051,CL00001,3,1,2,2
PRD0904056,CL00039,1,8,2,1
PRD0904057,CL00162,2,7,2,1
PRD0904079,CL00076,3,6,1,1
PRD0904086,CL00234,2,4,2,1
PRD0904113,CL00209,3,8,2,1
PRD0904134,CL00110,1,9,2,1
PRD0904138,CL00075,1,3,2,1
PRD0904142,CL00068,2,6,1,3
PRD0904152,CL00042,2,1,2,3
PRD0904158,CL00070,3,2,1,3
PRD0904162,CL00079,3,4,1,2
PRD0904204,CL00135,1,8,2,2
PRD0904252,CL00093,1,2,1,3
PRD0904253,CL00156,1,7,2,2
PRD0904282,CL00076,2,3,1,1
PRD0904299,CL00029,3,9,2,2
PRD0904304,CL00213,3,6,1,1
PRD0904318,CL00007,2,9,1,2
PRD0904319,CL00154,3,4,1,1
PRD0904367,CL00164,1,10,1,1
PRD0904380,CL00041,2,1,1,3
PRD0904392,CL00022,3,9,2,2
PRD0904404,CL00116,3,7,2,3
PRD0904411,CL00093,1,2,2,1
PRD0904431,CL00160,3,7,1,2
PRD0904447,CL00096,1,5,1,1
PRD0904456,CL00067,2,1,1,2
PRD0904470,CL00103,3,7,1,3
PRD0904471,CL00218,3,5,1,3
PRD0904489,CL00091,2,9,1,3
PRD0904511,CL00002,1,5,2,3
PRD0904537,CL00007,1,10,2,3
PRD0904551,CL00214,3,2,1,3
PRD0904583,CL00170,1,4,2,2
PRD0904591,CL00157,3,3,2,2
PRD0904599,CL00108,1,3,1,2
PRD0904620,CL00070,1,5,2,3
PRD0904628,CL00026,1,5,1,1
PRD0904634,CL00229,1,8,2,1
PRD0904657,CL00017,2,7,1,1
PRD0904667,CL00164,2,1,1,2
PRD0904669,CL00207,1,5,1,1
PRD0904690,CL00163,3,8,1,1
PRD0904693,CL00073,3,4,2,3
PRD0904701,CL00058,3,6,1,3
PRD0904708,CL00229,2,4,1,1
PRD0904714,CL00025,2,10,1,3
PRD0904734,CL00089,3,9,1,3
PRD0904738,CL00078,3,10,1,2
PRD0904745,CL00157,1,4,2,1
PRD0904772,CL00160,2,4,2,3
PRD0904781,CL00063,1,1,1,2
PRD0904813,CL00046,2,3,1,2
PRD0904815,CL00067,1,6,1,3
PRD0904842,CL00163,2,6,1,1
PRD0904881,CL00014,3,4,1,2
PRD0904896,CL00003,3,2,2,2
PRD0904911,CL00201,3,7,2,1
PRD0904930,CL00162,1,3,2,2
PRD0904951,CL00105,3,2,2,2
PRD0904957,CL00227,1,10,1,1
PRD0904968,CL00092,2,5,2,3
PRD0901337,CL00100,3,8,1,3
PRD0901734,CL00140,3,6,2,3
PRD0902263,CL00218,1,1,1,2
PRD0902737,CL00100,1,5,1,1
PRD0904437,CL00191,3,10,2,3
PRD0904713,CL00092,2,4,1,2
PRD0903191,CL00051,3,6,1,3
PRD0900526,CL00034,2,8,2,3
PRD0902135,CL00051,3,1,1,3
PRD0901309,CL00033,1,4,2,2
PRD0903913,CL00006,1,3,1,2
PRD0900249,CL00072,3,8,1,2
PRD0902129,CL00072,3,3,1,3
PRD0902296,CL00072,3,7,2,1
PRD0903092,CL00072,1,1,1,3
PRD0904723,CL00024,2,5,1,2
PRD0901348,CL00072,1,6,1,3
PRD0904221,CL00079,2,4,2,3
PRD0900262,CL00070,2,2,2,3
PRD0904482,CL00162,3,4,1,3
PRD0900362,CL00049,3,5,1,2
PRD0903064,CL00154,3,1,1,3
PRD0904020,CL00049,1,3,2,1
PRD0901125,CL00195,2,2,1,3
PRD0901681,CL00195,1,8,2,1
PRD0904602,CL00195,1,5,1,3
PRD0901047,CL00116,2,3,1,3
PRD0901670,CL00198,2,3,1,1
PRD0902397,CL00089,3,9,2,3
PRD0904275,CL00130,1,3,2,1
PRD0904928,CL00100,3,5,2,2
PRD0900882,CL00069,3,2,1,2
PRD0904558,CL00067,3,3,2,2
PRD0900006,CL00103,1,5,2,1
PRD0900014,CL00089,2,6,2,3
PRD0900071,CL00086,2,9,2,1
PRD0900133,CL00113,1,10,2,1
PRD0900139,CL00001,3,3,2,1
PRD0900150,CL00094,3,8,1,1
PRD0900177,CL00007,2,2,1,3
PRD0900213,CL00162,2,8,1,2
PRD0900289,CL00157,1,4,2,3
PRD0900324,CL00058,3,7,2,3
PRD0900353,CL00070,3,9,1,3
PRD0900359,CL00148,2,5,2,1
PRD0900391,CL00131,3,5,2,2
PRD0900401,CL00245,1,2,2,1
PRD0900429,CL00145,1,1,2,2
PRD0900435,CL00142,1,8,2,3
PRD0900460,CL00235,1,7,2,3
PRD0900462,CL00067,2,6,2,3
PRD0900481,CL00070,1,8,1,3
PRD0900507,CL00142,2,6,2,1
PRD0900552,CL00198,3,8,2,3
PRD0900571,CL00093,2,1,2,3
PRD0900621,CL00074,3,6,1,1
PRD0900667,CL00075,2,2,2,1
PRD0900700,CL00073,2,1,2,1
PRD0900701,CL00139,2,9,1,2
PRD0900716,CL00153,2,6,2,2
PRD0900721,CL00113,2,5,2,1
PRD0900733,CL00070,1,7,1,2
PRD0900868,CL00131,2,10,1,3
PRD0900893,CL00144,3,5,1,1
PRD0900899,CL00155,3,7,2,1
PRD0900942,CL00142,3,4,2,2
PRD0900968,CL00144,2,5,2,2
PRD0901008,CL00154,3,4,2,2
PRD0901056,CL00020,3,4,2,1
PRD0901114,CL00202,3,4,1,1
PRD0901123,CL00064,3,10,2,2
PRD0901175,CL00049,3,8,1,2
PRD0901220,CL00160,1,6,1,3
PRD0901241,CL00073,2,7,2,3
PRD0901292,CL00052,3,8,1,2
PRD0901307,CL00126,3,4,2,2
PRD0901329,CL00154,2,7,2,2
PRD0901335,CL00058,1,3,2,2
PRD0901388,CL00162,2,7,2,1
PRD0901392,CL00140,2,1,1,3
PRD0901514,CL00145,1,3,1,1
PRD0901521,CL00163,3,10,2,2
PRD0901527,CL00199,1,9,1,3
PRD0901565,CL00020,2,4,1,1
PRD0901568,CL00119,3,7,1,1
PRD0901654,CL00203,1,8,1,3
PRD0901852,CL00246,3,1,1,2
PRD0901945,CL00089,3,2,1,3
PRD0901946,CL00079,3,9,1,3
PRD0901955,CL00051,3,9,2,1
PRD0901993,CL00053,1,3,1,2
PRD0902132,CL00069,3,10,1,3
PRD0902280,CL00135,3,7,2,3
PRD0902340,CL00131,1,2,1,3
PRD0902403,CL00094,3,5,1,2
PRD0902414,CL00072,2,9,1,3
PRD0902433,CL00219,1,1,2,3
PRD0902462,CL00087,1,8,1,1
PRD0902504,CL00195,2,5,2,2
PRD0902524,CL00213,2,9,1,3
PRD0902558,CL00208,2,1,2,2
PRD0902569,CL00159,1,1,1,1
PRD0902587,CL00079,1,1,2,1
PRD0902607,CL00207,3,10,1,2
PRD0902631,CL00198,3,6,1,1
PRD0902699,CL00070,1,7,1,1
PRD0902724,CL00155,1,5,1,3
PRD0902749,CL00126,3,2,1,2
PRD0902752,CL00160,3,1,2,1
PRD0902804,CL00070,3,1,1,1
PRD0902861,CL00198,1,6,2,3
PRD0902863,CL00129,2,10,2,2
PRD0902875,CL00195,2,6,2,2
PRD0902937,CL00067,3,9,1,2
PRD0903010,CL00075,1,2,2,3
PRD0903082,CL00050,3,9,1,3
PRD0903095,CL00105,3,7,2,2
PRD0903110,CL00164,1,7,2,2
PRD0903134,CL00067,3,10,2,2
PRD0903234,CL00201,1,1,2,2
PRD0903243,CL00128,1,1,2,1
PRD0903257,CL00199,3,10,2,3
PRD0903274,CL00008,2,7,2,2
PRD0903331,CL00103,2,5,1,2
PRD0903343,CL00067,3,5,2,1
PRD0903398,CL00159,2,8,1,3
PRD0903403,CL00129,3,2,1,2
PRD0903446,CL00079,1,1,1,3
PRD0903460,CL00157,3,7,2,2
PRD0903472,CL00018,1,6,1,2
PRD0903561,CL00075,3,3,1,3
PRD0903607,CL00069,3,5,1,3
PRD0903630,CL00164,2,2,2,2
PRD0903761,CL00008,3,6,1,1
PRD0903764,CL00214,3,2,2,2
PRD0903794,CL00148,1,2,1,1
PRD0903830,CL00073,3,3,2,3
PRD0903883,CL00214,3,4,2,1
PRD0903939,CL00073,3,5,1,2
PRD0903971,CL00006,2,9,2,2
PRD0903980,CL00106,3,8,1,2
PRD0904001,CL00130,1,9,1,1
PRD0904054,CL00199,2,8,2,1
PRD0904059,CL00079,3,6,1,1
PRD0904149,CL00114,1,1,2,2
PRD0904170,CL00064,3,8,1,2
PRD0904179,CL00049,1,10,1,2
PRD0904211,CL00023,3,7,2,1
PRD0904212,CL00157,1,8,2,1
PRD0904257,CL00041,1,7,1,1
PRD0904279,CL00207,1,1,1,2
PRD0904296,CL00002,1,3,1,1
PRD0904315,CL00006,1,8,1,2
PRD0904327,CL00140,1,2,1,3
PRD0904339,CL00141,1,10,2,3
PRD0904393,CL00087,1,3,2,3
PRD0904399,CL00140,1,7,1,2
PRD0904409,CL00073,3,4,1,1
PRD0904478,CL00002,2,1,1,3
PRD0904490,CL00129,3,8,2,3
PRD0904505,CL00163,3,8,2,3
PRD0904510,CL00110,1,10,1,2
PRD0904522,CL00207,1,9,1,3
PRD0904547,CL00155,3,2,2,1
PRD0904564,CL00157,3,3,1,3
PRD0904615,CL00126,1,7,2,3
PRD0904665,CL00153,2,10,1,3
PRD0904679,CL00017,1,1,2,3
PRD0904686,CL00076,3,8,2,2
PRD0904694,CL00209,2,7,1,2
PRD0904720,CL00123,1,4,2,1
PRD0904722,CL00091,1,10,2,1
PRD0904725,CL00207,3,3,2,2
PRD0904733,CL00067,2,7,2,2
PRD0904752,CL00145,3,6,2,3
PRD0904790,CL00207,3,6,2,1
PRD0904811,CL00147,1,5,1,3
PRD0904838,CL00103,2,6,1,1
PRD0904841,CL00152,2,5,1,1
PRD0904858,CL00050,2,8,2,1
PRD0904876,CL00077,2,2,1,1
PRD0904909,CL00086,1,3,2,3
PRD0904933,CL00150,1,7,2,1
PRD0904981,CL00070,1,7,1,2
PRD0904995,CL00075,1,1,2,2
PRD0902858,CL00076,1,10,2,2
PRD0903732,CL00100,1,4,1,2
PRD0902573,CL00218,1,9,2,1
PRD0904853,CL00112,2,6,1,3
PRD0903105,CL00152,1,6,2,2
PRD0901530,CL00089,3,3,2,3
PRD0904680,CL00072,2,2,1,3
PRD0902945,CL00198,3,8,2,1
PRD0900162,CL00079,1,4,2,3
PRD0900377,CL00197,3,3,2,1
PRD0901276,CL00002,3,8,2,2
PRD0901995,CL00162,1,9,1,3
PRD0901632,CL00070,3,4,2,1
PRD0901758,CL00101,1,1,1,3
PRD0900005,CL00155,1,7,1,3
PRD0900015,CL00015,2,5,2,3
PRD0900026,CL00144,2,10,2,3
PRD0900027,CL00074,1,6,2,3
PRD0900078,CL00142,3,10,2,1
PRD0900298,CL00048,2,10,1,1
PRD0900319,CL00006,2,10,2,3
PRD0900340,CL00013,2,10,1,2
PRD0900358,CL00061,2,4,2,1
PRD0900383,CL00148,3,9,1,1
PRD0900445,CL00140,1,10,2,1
PRD0900453,CL00015,1,10,2,1
PRD0900456,CL00046,2,9,1,2
PRD0900486,CL00034,3,4,1,3
PRD0900495,CL00079,3,2,1,3
PRD0900518,CL00214,2,5,1,2
PRD0900522,CL00157,1,4,1,1
PRD0900545,CL00132,1,8,1,3
PRD0900562,CL00229,2,1,2,2
PRD0900568,CL00050,3,4,2,1
PRD0900595,CL00103,3,2,1,2
PRD0900618,CL00103,3,4,2,3
PRD0900648,CL00150,1,4,1,2
PRD0900653,CL00046,2,4,2,2
PRD0900680,CL00159,2,4,2,2
PRD0900753,CL00148,2,10,1,3
PRD0900755,CL00003,1,7,2,1
PRD0900772,CL00073,2,5,2,1
PRD0900848,CL00131,2,7,1,3
PRD0900857,CL00204,1,5,1,2
PRD0900860,CL00092,1,5,1,1
PRD0900905,CL00128,2,4,1,3
PRD0900915,CL00148,2,9,1,2
PRD0901002,CL00076,3,5,1,2
PRD0901023,CL00162,3,9,1,2
PRD0901080,CL00129,1,2,1,3
PRD0901096,CL00077,3,9,2,1
PRD0901098,CL00089,1,6,1,1
PRD0901100,CL00070,1,8,2,2
PRD0901126,CL00162,2,4,2,2
PRD0901134,CL00008,2,3,2,2
PRD0901173,CL00075,3,10,2,2
PRD0901205,CL00213,3,1,1,1
PRD0901212,CL00043,1,2,2,3
PRD0901250,CL00104,2,9,1,2
PRD0901255,CL00201,1,4,2,1
PRD0901270,CL00083,2,10,1,3
PRD0901280,CL00101,2,6,1,2
PRD0901311,CL00014,2,2,1,1
PRD0901323,CL00067,2,2,2,3
PRD0901353,CL00070,2,8,1,3
PRD0901366,CL00103,2,2,1,2
PRD0901389,CL00070,2,6,2,1
PRD0901395,CL00015,1,5,1,2
PRD0901465,CL00005,1,10,1,2
PRD0901469,CL00140,2,9,1,3
PRD0901505,CL00014,3,5,1,2
PRD0901510,CL00079,1,5,2,3
PRD0901551,CL00185,2,5,2,2
PRD0901578,CL00212,3,5,1,1
PRD0901584,CL00157,1,10,1,2
PRD0901589,CL00157,2,7,2,3
PRD0901601,CL00076,2,2,1,1
PRD0901615,CL00076,2,2,1,3
PRD0901637,CL00162,2,8,2,2
PRD0901651,CL00006,2,9,2,1
PRD0901744,CL00075,2,8,1,3
PRD0901747,CL00067,3,9,2,1
PRD0901777,CL00064,1,3,2,2
PRD0901814,CL00198,1,4,2,3
PRD0901823,CL00140,2,8,2,1
PRD0901866,CL00061,2,2,2,2
PRD0901871,CL00020,3,4,2,3
PRD0901881,CL00162,1,1,2,1
PRD0901965,CL00195,2,9,1,3
PRD0902000,CL00069,1,1,2,2
PRD0902060,CL00070,2,3,2,2
PRD0902076,CL00032,1,1,1,2
PRD0902124,CL00023,1,1,2,1
PRD0902153,CL00213,1,7,1,2
PRD0902157,CL00195,2,6,1,1
PRD0902172,CL00073,3,9,2,3
PRD0902197,CL00088,3,10,1,2
PRD0902199,CL00070,3,8,2,3
PRD0902219,CL00164,2,10,1,3
PRD0902232,CL00006,1,7,1,3
PRD0902233,CL00152,2,8,2,2
PRD0902270,CL00207,1,5,2,2
PRD0902287,CL00163,3,6,1,1
PRD0902311,CL00075,3,8,2,1
PRD0902318,CL00164,2,5,1,1
PRD0902353,CL00034,2,9,2,1
PRD0902365,CL00110,3,8,2,2
PRD0902390,CL00129,1,1,2,3
PRD0902480,CL00047,3,8,2,1
PRD0902547,CL00233,3,6,2,1
PRD0902579,CL00140,2,3,1,1
PRD0902582,CL00152,2,9,2,1
PRD0902590,CL00144,1,5,2,1
PRD0902667,CL00058,1,4,2,3
PRD0902728,CL00038,1,5,1,2
PRD0902744,CL00070,2,9,1,1
PRD0902754,CL00208,3,6,1,3
PRD0902767,CL00050,1,6,2,1
PRD0902781,CL00010,3,9,2,1
PRD0902879,CL00070,2,2,2,2
PRD0902914,CL00128,1,2,2,1
PRD0902958,CL00207,3,2,1,2
PRD0903007,CL00157,3,4,2,1
PRD0903032,CL00160,3,9,2,3
PRD0903072,CL00110,3,10,1,2
PRD0903106,CL00156,3,8,1,2
PRD0903107,CL00058,2,6,2,1
PRD0903115,CL00149,3,1,1,2
PRD0903117,CL00207,2,4,1,1
PRD0903128,CL00161,3,4,2,1
PRD0903184,CL00163,1,8,1,3
PRD0903250,CL00157,2,10,1,1
PRD0903297,CL00039,3,3,1,2
PRD0903309,CL00149,1,7,2,1
PRD0903355,CL00233,2,1,1,1
PRD0903366,CL00076,1,10,2,1
PRD0903378,CL00063,2,9,1,1
PRD0903385,CL00075,2,2,1,1
PRD0903409,CL00070,2,4,1,1
PRD0903469,CL00002,1,3,2,1
PRD0903480,CL00164,1,5,2,1
PRD0903509,CL00198,2,3,2,2
PRD0903541,CL00064,3,6,1,2
PRD0903556,CL00006,2,8,1,3
PRD0903571,CL00034,2,1,1,1
PRD0903602,CL00205,3,5,2,2
PRD0903628,CL00129,1,9,1,2
PRD0903629,CL00110,1,4,2,1
PRD0903632,CL00036,2,10,1,2
PRD0903637,CL00063,1,3,2,1
PRD0903644,CL00023,3,5,2,1
PRD0903649,CL00076,3,1,1,2
PRD0903875,CL00003,3,2,1,1
PRD0903878,CL00127,3,1,2,3
PRD0903885,CL00206,1,8,1,1
PRD0903944,CL00156,1,4,1,3
PRD0903955,CL00093,1,3,2,3
PRD0903997,CL00050,3,2,2,2
PRD0904096,CL00197,1,10,1,3
PRD0904116,CL00212,3,8,1,1
PRD0904119,CL00147,3,8,1,3
PRD0904166,CL00148,1,4,1,1
PRD0904174,CL00042,2,2,2,2
PRD0904178,CL00140,1,6,1,1
PRD0904185,CL00079,3,8,2,2
PRD0904213,CL00198,2,4,2,3
PRD0904261,CL00250,1,7,1,2
PRD0904269,CL00103,2,8,1,1
PRD0904276,CL00010,1,10,1,2
PRD0904334,CL00151,3,10,2,3
PRD0904354,CL00079,1,2,2,2
PRD0904355,CL00091,2,3,2,3
PRD0904410,CL00130,3,4,2,1
PRD0904418,CL00051,3,9,1,2
PRD0904419,CL00085,1,8,2,2
PRD0904423,CL00083,2,6,1,2
PRD0904424,CL00105,1,5,1,1
PRD0904435,CL00123,2,6,1,1
PRD0904453,CL00159,3,5,1,1
PRD0904460,CL00153,2,6,1,3
PRD0904519,CL00067,1,6,1,2
PRD0904534,CL00003,3,10,2,3
PRD0904557,CL00154,3,5,2,1
PRD0904592,CL00163,3,5,1,3
PRD0904619,CL00139,2,5,1,3
PRD0904633,CL00195,1,2,2,1
PRD0904691,CL00156,1,4,2,3
PRD0904762,CL00025,1,4,2,1
PRD0904789,CL00075,3,7,1,3
PRD0904814,CL00020,3,8,2,3
PRD0904857,CL00036,1,10,2,2
PRD0904878,CL00042,3,10,2,1
PRD0904899,CL00134,2,1,2,1
PRD0904917,CL00063,3,3,2,1
PRD0904974,CL00101,1,3,2,1
PRD0904988,CL00214,2,2,1,2
PRD0904993,CL00162,3,2,1,1
PRD0901067,CL00036,3,3,2,2
PRD0902450,CL00032,2,8,1,2
PRD0903500,CL00085,1,5,2,2
PRD0902358,CL00164,1,1,2,3
PRD0903290,CL00162,1,4,1,3
PRD0902149,CL00072,3,8,2,1
PRD0900345,CL00233,3,9,1,2
PRD0901714,CL00049,1,9,2,3
PRD0902101,CL00140,3,10,2,3
PRD0900234,CL00025,3,2,2,2
PRD0900376,CL00076,1,6,2,2
PRD0901301,CL00070,1,5,2,2
PRD0902637,CL00069,2,10,1,1
PRD0903011,CL00070,3,6,1,2
PRD0901877,CL00169,2,6,2,2
PRD0902543,CL00085,2,2,1,2
PRD0900199,CL00013,1,10,1,1
PRD0900341,CL00014,2,5,2,1
PRD0900583,CL00128,3,1,2,1
PRD0900607,CL00126,3,5,1,3
PRD0900883,CL00244,3,4,2,3
PRD0900956,CL00163,2,7,2,2
PRD0900962,CL00164,2,7,2,3
PRD0901064,CL00214,2,5,1,1
PRD0901529,CL00123,3,10,1,3
PRD0901822,CL00061,2,6,2,2
PRD0901835,CL00123,1,7,1,1
PRD0901848,CL00153,1,9,1,1
PRD0902074,CL00047,2,7,1,3
PRD0902285,CL00162,1,9,2,2
PRD0902289,CL00154,1,2,2,2
PRD0902453,CL00160,2,10,2,2
PRD0902487,CL00070,1,3,2,3
PRD0902538,CL00242,3,1,2,2
PRD0902546,CL00128,1,1,2,2
PRD0902638,CL00067,3,2,1,1
PRD0902791,CL00219,3,8,1,2
PRD0902835,CL00072,3,6,1,2
PRD0903273,CL00117,3,10,2,1
PRD0903390,CL00150,3,7,2,1
PRD0903475,CL00012,1,5,1,3
PRD0903685,CL00152,2,5,2,3
PRD0903778,CL00067,3,2,2,1
PRD0903809,CL00162,3,7,1,1
PRD0903819,CL00078,1,10,2,3
PRD0904065,CL00006,1,3,2,1
PRD0904187,CL00088,3,2,1,1
PRD0904208,CL00159,1,9,2,1
PRD0904220,CL00140,1,3,1,1
PRD0904370,CL00068,3,9,1,3
PRD0904550,CL00103,2,7,2,2
PRD0904554,CL00075,2,1,1,3
PRD0904621,CL00130,1,10,1,1
PRD0904681,CL00075,1,6,2,1
PRD0904827,CL00092,1,2,1,2
PRD0901956,CL00229,1,10,2,3
PRD0900778,CL00074,2,7,2,3
PRD0901662,CL00024,3,8,1,2
PRD0900003,CL00144,1,4,2,1
PRD0900011,CL00033,1,9,2,3
PRD0900024,CL00160,2,5,1,2
PRD0900037,CL00129,3,4,2,1
PRD0900050,CL00111,2,1,1,3
PRD0900082,CL00067,3,8,1,1
PRD0900085,CL00127,1,1,2,3
PRD0900196,CL00070,3,2,1,3
PRD0900251,CL00061,1,5,1,3
PRD0900303,CL00129,3,10,1,3
PRD0900334,CL00096,1,2,2,1
PRD0900400,CL00073,3,3,2,2
PRD0900407,CL00028,2,10,1,1
PRD0900448,CL00205,3,3,2,2
PRD0900457,CL00067,2,3,1,2
PRD0900564,CL00152,2,5,1,1
PRD0900593,CL00133,3,8,1,2
PRD0900641,CL00086,3,6,1,1
PRD0900664,CL00058,2,7,2,1
PRD0900688,CL00201,1,3,2,1
PRD0900740,CL00070,1,4,1,1
PRD0900775,CL00163,3,6,2,1
PRD0900792,CL00051,1,5,2,3
PRD0900822,CL00228,3,9,1,3
PRD0900842,CL00140,3,2,2,2
PRD0900861,CL00209,3,9,1,3
PRD0900862,CL00076,1,4,1,3
PRD0900874,CL00206,3,5,2,2
PRD0900900,CL00063,1,2,1,3
PRD0900953,CL00240,2,9,1,1
PRD0901112,CL00093,3,1,2,1
PRD0901133,CL00198,1,2,1,2
PRD0901148,CL00129,1,4,2,2
PRD0901216,CL00091,1,4,2,1
PRD0901223,CL00103,1,8,1,2
PRD0901254,CL00069,1,1,2,3
PRD0901380,CL00213,3,6,1,1
PRD0901484,CL00053,3,9,1,2
PRD0901532,CL00005,3,5,2,3
PRD0901569,CL00151,3,9,1,1
PRD0901607,CL00089,2,10,2,2
PRD0901620,CL00164,1,9,2,1
PRD0901697,CL00008,3,3,1,3
PRD0901773,CL00078,2,3,1,1
PRD0901805,CL00156,2,1,1,3
PRD0901817,CL00073,2,7,1,1
PRD0901824,CL00073,3,7,2,1
PRD0901843,CL00200,2,1,2,2
PRD0901846,CL00074,2,1,1,2
PRD0901916,CL00067,3,1,2,2
PRD0901961,CL00007,1,10,2,1
PRD0901976,CL00150,2,3,2,3
PRD0902008,CL00018,3,3,2,2
PRD0902013,CL00159,2,9,1,2
PRD0902014,CL00144,2,8,1,2
PRD0902069,CL00006,3,10,2,2
PRD0902081,CL00089,1,6,1,3
PRD0902170,CL00051,3,6,2,2
PRD0902201,CL00070,1,7,2,1
PRD0902204,CL00163,2,3,1,3
PRD0902206,CL00108,3,9,2,1
PRD0902208,CL00219,3,1,1,1
PRD0902223,CL00152,3,7,2,1
PRD0902224,CL00151,3,6,2,2
PRD0902254,CL00073,1,6,1,3
PRD0902319,CL00144,3,1,1,3
PRD0902339,CL00159,3,1,1,2
PRD0902417,CL00129,1,1,2,1
PRD0902527,CL00132,3,3,2,2
PRD0902575,CL00199,3,8,2,2
PRD0902860,CL00086,2,7,2,1
PRD0902897,CL00103,2,3,1,2
PRD0902913,CL00041,3,4,1,1
PRD0902962,CL00162,1,5,1,2
PRD0902995,CL00214,1,9,2,2
PRD0903060,CL00083,1,4,2,3
PRD0903130,CL00114,3,10,1,2
PRD0903138,CL00108,1,1,2,2
PRD0903155,CL00096,3,8,2,3
PRD0903172,CL00151,3,6,1,2
PRD0903221,CL00092,2,2,2,1
PRD0903321,CL00020,3,6,1,3
PRD0903324,CL00206,1,7,2,2
PRD0903370,CL00111,3,6,2,1
PRD0903434,CL00129,3,6,1,1
PRD0903622,CL00246,3,2,1,1
PRD0903655,CL00074,2,9,1,2
PRD0903662,CL00046,2,6,1,2
PRD0903672,CL00048,1,1,1,3
PRD0903673,CL00206,1,3,1,3
PRD0903686,CL00132,2,2,1,1
PRD0903693,CL00202,1,8,1,3
PRD0903714,CL00201,2,5,2,2
PRD0903717,CL00131,3,4,1,2
PRD0903786,CL00103,2,2,2,1
PRD0903815,CL00108,2,4,1,2
PRD0903914,CL00197,2,1,2,2
PRD0903930,CL00129,1,8,1,2
PRD0903942,CL00061,1,4,1,1
PRD0904025,CL00067,3,6,2,1
PRD0904077,CL00061,1,10,2,1
PRD0904335,CL00020,3,5,2,3
PRD0904467,CL00092,2,10,1,2
PRD0904664,CL00052,1,2,1,1
PRD0904671,CL00120,3,8,2,1
PRD0904828,CL00067,2,6,2,2
PRD0904832,CL00157,3,10,1,3
PRD0904856,CL00161,1,5,1,2
PRD0904883,CL00058,2,7,2,2
PRD0904898,CL00202,2,3,1,1
PRD0904915,CL00013,1,10,1,3
PRD0904979,CL00043,1,7,1,3
PRD0900880,CL00100,2,9,1,3
PRD0904231,CL00229,3,2,2,2
PRD0904994,CL00033,2,2,1,2
PRD0904029,CL00005,3,9,1,3
PRD0903459,CL00065,3,5,2,1
PRD0902317,CL00051,2,8,2,2
PRD0901739,CL00084,3,6,2,3
PRD0902576,CL00198,1,6,2,3
PRD0900109,CL00059,1,4,1,3
PRD0900004,CL00020,2,6,1,1
PRD0900056,CL00135,3,5,2,1
PRD0900083,CL00113,1,7,1,3
PRD0900093,CL00020,3,1,2,2
PRD0900142,CL00079,1,6,2,3
PRD0900155,CL00229,2,4,1,1
PRD0900167,CL00130,2,2,1,2
PRD0900348,CL00065,1,5,1,2
PRD0900439,CL00121,1,1,2,1
PRD0900467,CL00103,1,6,1,3
PRD0900476,CL00123,3,6,2,1
PRD0900547,CL00076,3,10,2,3
PRD0900615,CL00160,2,9,1,2
PRD0900633,CL00061,2,2,2,1
PRD0900672,CL00049,3,8,2,1
PRD0900710,CL00195,3,2,2,3
PRD0900736,CL00198,1,2,1,3
PRD0900751,CL00229,3,2,2,3
PRD0900782,CL00086,1,2,2,3
PRD0900802,CL00127,2,3,2,3
PRD0900859,CL00006,1,1,1,1
PRD0901026,CL00068,2,2,1,2
PRD0901164,CL00216,1,9,1,2
PRD0901402,CL00111,1,8,2,3
PRD0901778,CL00073,1,10,2,2
PRD0901920,CL00002,1,5,2,3
PRD0901931,CL00134,2,3,2,3
PRD0901978,CL00145,3,6,2,2
PRD0902291,CL00065,2,2,1,2
PRD0902335,CL00014,2,5,2,3
PRD0902474,CL00020,3,6,1,1
PRD0902550,CL00003,2,9,2,1
PRD0902551,CL00138,2,2,2,1
PRD0902570,CL00107,1,5,2,3
PRD0902571,CL00129,1,4,1,3
PRD0902719,CL00067,3,8,1,3
PRD0902787,CL00042,2,3,2,2
PRD0902813,CL00043,2,4,2,2
PRD0902852,CL00103,1,4,1,2
PRD0902924,CL00160,2,3,1,1
PRD0902963,CL00164,1,4,2,2
PRD0903076,CL00150,1,6,2,2
PRD0903210,CL00132,2,4,2,2
PRD0903213,CL00154,3,7,2,1
PRD0903233,CL00148,2,1,1,3
PRD0903264,CL00079,3,9,1,3
PRD0903325,CL00020,3,7,1,3
PRD0903344,CL00081,2,2,2,3
PRD0903353,CL00155,2,3,1,2
PRD0903362,CL00001,1,8,1,3
PRD0903419,CL00093,2,8,2,3
PRD0903491,CL00108,1,8,1,3
PRD0903518,CL00069,2,9,2,1
PRD0903763,CL00067,3,5,2,3
PRD0903782,CL00144,3,3,1,1
PRD0903823,CL00140,3,2,2,3
PRD0903847,CL00131,3,1,2,3
PRD0903902,CL00205,1,2,2,3
PRD0903991,CL00049,3,10,2,1
PRD0903998,CL00155,1,7,2,1
PRD0904120,CL00020,3,5,1,2
PRD0904136,CL00007,1,2,2,1
PRD0904347,CL00243,1,4,2,2
PRD0904433,CL00140,1,10,2,3
PRD0904644,CL00235,3,4,1,1
PRD0904761,CL00219,2,10,2,1
PRD0904771,CL00123,2,6,2,2
PRD0903937,CL00100,1,3,1,3
PRD0900240,CL00091,2,9,2,3
PRD0902635,CL00198,1,1,1,1
PRD0900034,CL00129,1,9,2,2
